Country,CountryCode,population
China,CHN,1410929362
India,IND,1380004385
United States,USA,329484123
Indonesia,IDN,273523621
Pakistan,PAK,220892331
Brazil,BRA,212559409
Nigeria,NGA,206139587
Bangladesh,BGD,164689383
Russian Federation,RUS,144104080
Mexico,MEX,128932753
Japan,JPN,125836021
Ethiopia,ETH,114963583
Philippines,PHL,109581085
"Egypt, Arab Rep.",EGY,102334403
Vietnam,VNM,97338583
"Congo, Dem. Rep.",COD,89561404
Turkey,TUR,84339067
"Iran, Islamic Rep.",IRN,83992953
Germany,DEU,83240525
Thailand,THA,69799978
France,FRA,67391582
United Kingdom,GBR,67215293
Tanzania,TZA,59734213
Italy,ITA,59554023
South Africa,ZAF,59308690
